id,id_str,tab,Japanese,English
1,aetheryte-mist/aetheryte-gob/aetheryte-lave/aetheryte-shirogane,myhouse,冒険者居住区,Residential Areas
2,aetheryte-mist,myhouse,ミスト・ヴィレッジ,Mist
3,aetheryte-gob,myhouse,ゴブレットビュート,The Goblet
4,aetheryte-lave,myhouse,ラベンダーベッド,The Lavender Beds
5,aetheryte-shirogane,myhouse,シロガネ,Shirogane
6,friend-mist,friend,ミスト・ヴィレッジ(フレンドテレポ),Mist
7,friend-gob,friend,ゴブレットビュート(フレンドテレポ),The Goblet
8,friend-lave,friend,ラベンダーベッド(フレンドテレポ),The Lavender Beds
9,friend-shirogane,friend,シロガネ(フレンドテレポ),Shirogane
10,lanoscea,lanoscea,ラノシア,Lanoscea
11,aetheryte-limsa,lanoscea,リムサ・ロミンサ：下甲板層,Limsa Lominsa Lower Decks
12,aetheryte-summer,lanoscea,中央ラノシア,Middle La Noscea
13,aetheryte-summer,lanoscea,サマーフォード庄,Summerford Farms
14,aetheryte-moraby,lanoscea,低地ラノシア,Lower La Noscea
15,aetheryte-moraby,lanoscea,モラビー造船廠,Moraby Drydocks
16,aetheryte-costa/aetheryte-wine,lanoscea,東ラノシア,Eastern La Noscea
17,aetheryte-costa,lanoscea,コスタ・デル・ソル,Costa del Sol
18,aetheryte-wine,lanoscea,ワインポート,Wineport
19,aetheryte-swift/aetheryte-ale,lanoscea,西ラノシア,Western La Noscea
20,aetheryte-swift,lanoscea,スウィフトパーチ植民地,Swiftperch
21,aetheryte-ale,lanoscea,エールポート,Aleport
22,aetheryte-bronze,lanoscea,高地ラノシア,Upper La Noscea
23,aetheryte-bronze,lanoscea,キャンプ・ブロンズレイク,Camp Bronze Lake
24,aetheryte-overlook,lanoscea,外地ラノシア,Outer La Noscea
25,aetheryte-overlook,lanoscea,キャンプ・オーバールック,Camp Overlook
26,aetheryte-wolves,lanoscea,ウルヴズジェイル係船場,Wolves' Den Pier
27,blackshroud,blackshroud,黒衣森,The Black Shroud
28,aetheryte-gridania,blackshroud,グリダニア：新市街,New Gridania
29,aetheryte-bent,blackshroud,黒衣森：中央森林,Central Shroud
30,aetheryte-bent,blackshroud,ベントブランチ牧場,Bentbranch Meadows
31,aetheryte-hawthorne,blackshroud,黒衣森：東部森林,East Shroud
32,aetheryte-hawthorne,blackshroud,ホウソーン家の山塞,The Hawthorne Hut
33,aetheryte-quarry/aetheryte-tranquil,blackshroud,黒衣森：南部森林,South Shroud
34,aetheryte-quarry,blackshroud,クォーリーミル,Quarrymill
35,aetheryte-tranquil,blackshroud,キャンプ・トランキル,Camp Tranquil
36,aetheryte-fallgourd,blackshroud,黒衣森：北部森林,North Shroud
37,aetheryte-fallgourd,blackshroud,フォールゴウド,Fallgourd Float
38,thanalan,thanalan,ザナラーン,Thanalan
39,aetheryte-uldah,thanalan,ウルダハ：ナル回廊,Ul'dah - Steps of Nald
40,aetheryte-horizon,thanalan,西ザナラーン,Western Thanalan
41,aetheryte-horizon,thanalan,ホライズン,Horizon
42,aetheryte-black,thanalan,中央ザナラーン,Central Thanalan
43,aetheryte-black,thanalan,ブラックブラッシュ停留所,Black Brush Station
44,aetheryte-drybone,thanalan,東ザナラーン,Eastern Thanalan
45,aetheryte-drybone,thanalan,キャンプ・ドライボーン,Camp Drybone
46,aetheryte-littlealamhigo/aetheryte-forgotten,thanalan,南ザナラーン,Southern Thanalan
47,aetheryte-littlealamhigo,thanalan,リトルアラミゴ,Little Ala Mhigo
48,aetheryte-forgotten,thanalan,忘れられたオアシス,Forgotten Springs
49,aetheryte-bluefog/aetheryte-ceruleum,thanalan,北ザナラーン,Northan Thanalan
50,aetheryte-bluefog,thanalan,キャンプ・ブルーフォグ,Camp Bluefog
51,aetheryte-ceruleum,thanalan,青燐生成所,Ceruleum Processing Plant
52,aetheryte-goldsaucer,thanalan,ゴールドソーサー,The Gold Saucer
53,aetheryte-ishgard/aetheryte-dragonhead/aetheryte-falcon,coerthas,クルザス,Coerthas
54,aetheryte-ishgard,coerthas,イシュガルド：下層,Foundation
55,aetheryte-dragonhead,coerthas,キャンプ・ドラゴンヘッド,Camp Dragonhead
56,aetheryte-falcon,coerthas,ファルコンネスト,Falcon's Net
57,aetheryte-cloudtop/aetheryte-okzundu,abalathia,アバラシア,Abalathia's Spine
58,aetheryte-cloudtop,abalathia,キャンプ・クラウドトップ,Camp Cloudtop
59,aetheryte-okzundu,abalathia,オク・ズンド,Ok' Zundu
60,aetheryte-helix,,アジス・ラー,Azys Lla
61,aetheryte-helix,abalathia,ポート・ヘリックス,Helix
62,dravania,dravania,ドラヴァニア,Dravania
63,aetheryte-idyll,dravania,イディルシャイア,Idyllshire
64,aetheryte-idyll,dravania,低地ドラヴァニア,The Dravanian Hinterlands
65,aetheryte-tail/aetheryte-anyx,dravania,高地ドラヴァニア,The Dravanian Forelands
66,aetheryte-tail,dravania,テイルフェザー,Tailfeather
67,aetheryte-anyx,dravania,不浄の三塔,Anyx Trine
68,aetheryte-moghome/aetheryte-zenith,dravania,ドラヴァニア雲海,The Chuming Mists
69,aetheryte-moghome,dravania,モグモグホーム,Moghome
70,aetheryte-zenith,dravania,白亜の宮殿,Zenith
71,aetheryte-rhalgr/aetheryte-oriens/aetheryte-peering/aetheryte-alagannha/aetheryte-alaghiri/aetheryte-praetoria/aetheryte-alamhiganquarter,gyrabania,ギラバニア,Gyr Abania
72,aetheryte-rhalgr,gyrabania,ラールガーズリーチ,Rhalgr's Reach
73,aetheryte-oriens/aetheryte-peering,gyrabania,ギラバニア辺境地帯,The Fringes
74,aetheryte-oriens,gyrabania,カストルム・オリエンス,Castrum Oriens
75,aetheryte-peering,gyrabania,ピーリングストーンズ,The Peering Stones
76,aetheryte-alagannha/aetheryte-alaghiri,gyrabania,ギラバニア山岳地帯,The Peaks
77,aetheryte-alagannha,gyrabania,アラガーナ,Ala Gannha
78,aetheryte-alaghiri,gyrabania,アラギリ,Ala Ghiri
79,aetheryte-praetoria/aetheryte-alamhiganquarter,gyrabania,ギラバニア湖畔地帯,The Lochs
80,aetheryte-praetoria,gyrabania,ポルタ・プレトリア,Porta Praetoria
81,aetheryte-alamhiganquarter,gyrabania,アラミガン・クォーター,The Ala Mhigan Quarter
82,aetheryte-kugane,hingashi,ひんがしの国,Hingashi
83,aetheryte-kugane,hingashi,クガネ,Kugane
84,aetheryte-tamamizu/aetheryte-onokoro,othard,紅玉海,The Ruby Sea
85,aetheryte-tamamizu/aetheryte-onokoro,othard,オサード,Othard
86,aetheryte-tamamizu,othard,碧のタマミズ,Tamamizu
87,aetheryte-onokoro,othard,オノコロ島,Onokoro
88,aetheryte-namai/aetheryte-fierce,othard,ヤンサ,Yanxia
89,aetheryte-namai,othard,ナマイ村,Namai
90,aetheryte-fierce,othard,烈士庵,The House of the Fierce
91,aetheryte-reunion/aetheryte-dawnthrone/aetheryte-dhoroiloh,othard,アジムステップ,The Azim Steppe
92,aetheryte-reunion,othard,再会の市,Reunion
93,aetheryte-dawnthrone,othard,明けの玉座,The Dawn Throne
94,aetheryte-dhoroiloh,othard,ドーロ・イロー,Dhoro Iloh
95,aetheryte-domanenclave,othard,ドマ,Doma
96,aetheryte-domanenclave,othard,ドマ町人地,The Doman Enclave
97,aetheryte-crystarium/aetheryte-eulmore/aetheryte-jobb/aetheryte-ostall/aetheryte-stilltide/aetheryte-wright/aetheryte-tomra/aetheryte-mordsouq/aetheryte-journey/aetheryte-twine/aetheryte-lydhalran/aetheryte-plaenni/aetheryte-wolekdorf/aetheryte-slitherbough/aetheryte-fanow/aetheryte-ondo/aetheryte-macarenses,norvrandt,ノルヴラント,Norvrandt
98,aetheryte-crystarium,norvrandt,クリスタリウム,Crystarium
99,aetheryte-eulmore,norvrandt,ユールモア,Eulmore
100,aetheryte-jobb/aetheryte-ostall,norvrandt,レイクランド,Lakeland
101,aetheryte-jobb,norvrandt,ジョッブ砦,Fort Jobb
102,aetheryte-ostall,norvrandt,オスタル厳命城,The Ostall Imperative
103,aetheryte-stilltide/aetheryte-wright/aetheryte-tomra,norvrandt,コルシア島,Kholusia
104,aetheryte-stilltide,norvrandt,スティルタイド,Stilltide
105,aetheryte-wright,norvrandt,ライト村,Wright
106,aetheryte-tomra,norvrandt,トメラの村,Tomra
107,aetheryte-mordsouq/aetheryte-journey/aetheryte-twine,norvrandt,アム・アレーン,Amh Araeng
108,aetheryte-mordsouq,norvrandt,モルド・スーク,Mord Souq
109,aetheryte-journey,norvrandt,旅立ちの宿,The Inn at Journey's Head
110,aetheryte-twine,norvrandt,トゥワイン,Twine
111,aetheryte-lydhalran/aetheryte-plaenni/aetheryte-wolekdorf,norvrandt,イル・メグ,Il Mheg
112,aetheryte-lydhalran,norvrandt,リダ・ラーン,Lydha Lran
113,aetheryte-plaenni,norvrandt,プラ・エンニ茸窟,Pla Enni
114,aetheryte-wolekdorf,norvrandt,ヴォレクドルフ,Wolekdorf
115,aetheryte-slitherbough/aetheryte-fanow,norvrandt,ラケティカ大森林,The Rak'tika Greatwood
116,aetheryte-slitherbough,norvrandt,スリザーバウ,Slitherbough
117,aetheryte-fanow,norvrandt,ファノヴの里,Fanow
118,aetheryte-ondo/aetheryte-macarenses,norvrandt,テンペスト,The Tempest
119,aetheryte-ondo,norvrandt,オンドの潮溜まり,The Ondo Cups
120,aetheryte-macarenses,norvrandt,マカレンサス広場,The Macarenses Angle
121,aetheryte-revenant,mordhona,モードゥナ,Mor Dhona
122,aetheryte-revenant,mordhona,レヴナンツトール,Revenant's Toll